name,type_id
#星系,0
军团,2
星域,3
星座,4
星系,5
恒星G5(黄色),6
恒星K7(橙色),7
恒星K5(红色巨型),8
恒星B0(蓝色),9
恒星F0 (白色),10
行星（温和）,11
行星（冰体）,12
行星（气体）,13
卫星,14
小行星带,15
星门（加达里星系）,16
星门（艾玛星座）,17
斜长岩,18
灰岩,19
水硼砂,20
同位原矿,21
艾克诺岩,22
集装箱货柜,23
环状星体,24
男性尸体,25
军团办公室选项夹,26
军团办公室,27
工厂信息选项夹,28
星币,29
势力,30
三钛合金,34
类晶体胶矿,35
类银超金属,36
同位聚合体,37
超新星诺克石,38
晶状石英核岩,39
超噬矿,40
垃圾,41
香料汽水,42
抗生素,43
核能燃料,44
冷藏植物种子,45
PK,49
军团股份,50
位标,51
贸易,52
贸易市场,53
空间站（加达里4）,54
空间站（盖伦特1）,56
盖伦特空间站枢纽,57
CO1,58
CO2,59
资产安全包裹,60
A级克隆,164
B级克隆,165
C级克隆,166
碳铅弹 S,178
核芯弹 S,179
质子弹 S,180
硬钼弹 S,181
钛合金萨博弹 S,182
聚变弹 S,183
定相等离子弹 S,184
电磁脉冲弹 S,185
碳铅弹 M,186
核芯弹 M,187
质子弹 M,188
硬钼弹 M,189
钛合金萨博弹 M,190
聚变弹 M,191
定相等离子弹 M,192
电磁脉冲弹 M,193
碳铅弹 L,194
核芯弹 L,195
质子弹 L,196
硬钼弹 L,197
钛合金萨博弹 L,198
聚变弹 L,199
定相等离子弹 L,200
电磁脉冲弹 L,201
雷神巡航导弹,202
鞭挞巡航导弹,203
炼狱巡航导弹,204
星爆巡航导弹,205
星爆重型导弹,206
雷神重型导弹,207
炼狱重型导弹,208
鞭挞重型导弹,209
鞭挞轻型导弹,210
炼狱轻型导弹,211
雷神轻型导弹,212
星爆轻型导弹,213
铁质轨道弹 S,215
钨质轨道弹 S,216
铱质轨道弹 S,217
铅质轨道弹 S,218
钍质轨道弹 S,219
钼质轨道弹 S,220
锰质轨道弹 S,221
反物质轨道弹 S,222
铁质轨道弹 M,223
钨质轨道弹 M,224
铱质轨道弹 M,225
铅质轨道弹 M,226
钍质轨道弹 M,227
钼质轨道弹 M,228
锰质轨道弹 M,229
反物质轨道弹 M,230
铁质轨道弹 L,231
钨质轨道弹 L,232
铱质轨道弹 L,233
铅质轨道弹 L,234
钍质轨道弹 L,235
钼质轨道弹 L,236
锰质轨道弹 L,237
反物质轨道弹 L,238
射频晶体 S,239
微波晶体 S,240
红外晶体 S,241
标准晶体 S,242
紫外晶体 S,243
X射线晶体 S,244
伽玛晶体 S,245
多频晶体 S,246
射频晶体 M,247
微波晶体 M,248
红外晶体 M,249
标准晶体 M,250
紫外晶体 M,251
X射线晶体 M,252
伽玛晶体 M,253
多频晶体 M,254
射频晶体 L,255
微波晶体 L,256
红外晶体 L,257
标准晶体 L,258
紫外晶体 L,259
X射线晶体 L,260
伽玛晶体 L,261
多频晶体 L,262
电容注电器装料 25,263
电容注电器装料 50,264
重型反弹道导弹 I,265
鞭挞火箭,266
鞭挞鱼雷,267
