name,type_id,1st,2nd,3rd,4th,5th
斜长岩,18,制造和研究,材料,原材料,标准矿石,斜长岩
灰岩,19,制造和研究,材料,原材料,标准矿石,灰岩
水硼砂,20,制造和研究,材料,原材料,标准矿石,水硼砂
同位原矿,21,制造和研究,材料,原材料,标准矿石,同位原矿
艾克诺岩,22,制造和研究,材料,原材料,标准矿石,艾克诺岩
三钛合金,34,制造和研究,材料,矿物,,
类晶体胶矿,35,制造和研究,材料,矿物,,
类银超金属,36,制造和研究,材料,矿物,,
同位聚合体,37,制造和研究,材料,矿物,,
超新星诺克石,38,制造和研究,材料,矿物,,
晶状石英核岩,39,制造和研究,材料,矿物,,
超噬矿,40,制造和研究,材料,矿物,,
垃圾,41,贸易货物,工业货物,,,
香料汽水,42,贸易货物,消费品,,,
抗生素,43,贸易货物,消费品,,,
核能燃料,44,制造和研究,材料,行星材料,精炼过的行星材料,
冷藏植物种子,45,贸易货物,消费品,,,
碳铅弹 S,178,军火和弹药,射弹弹药,标准弹药,小型,
核芯弹 S,179,军火和弹药,射弹弹药,标准弹药,小型,
质子弹 S,180,军火和弹药,射弹弹药,标准弹药,小型,
硬钼弹 S,181,军火和弹药,射弹弹药,标准弹药,小型,
钛合金萨博弹 S,182,军火和弹药,射弹弹药,标准弹药,小型,
聚变弹 S,183,军火和弹药,射弹弹药,标准弹药,小型,
定相等离子弹 S,184,军火和弹药,射弹弹药,标准弹药,小型,
电磁脉冲弹 S,185,军火和弹药,射弹弹药,标准弹药,小型,
碳铅弹 M,186,军火和弹药,射弹弹药,标准弹药,中型,
核芯弹 M,187,军火和弹药,射弹弹药,标准弹药,中型,
质子弹 M,188,军火和弹药,射弹弹药,标准弹药,中型,
硬钼弹 M,189,军火和弹药,射弹弹药,标准弹药,中型,
钛合金萨博弹 M,190,军火和弹药,射弹弹药,标准弹药,中型,
聚变弹 M,191,军火和弹药,射弹弹药,标准弹药,中型,
定相等离子弹 M,192,军火和弹药,射弹弹药,标准弹药,中型,
电磁脉冲弹 M,193,军火和弹药,射弹弹药,标准弹药,中型,
碳铅弹 L,194,军火和弹药,射弹弹药,标准弹药,大型,
核芯弹 L,195,军火和弹药,射弹弹药,标准弹药,大型,
质子弹 L,196,军火和弹药,射弹弹药,标准弹药,大型,
硬钼弹 L,197,军火和弹药,射弹弹药,标准弹药,大型,
钛合金萨博弹 L,198,军火和弹药,射弹弹药,标准弹药,大型,
聚变弹 L,199,军火和弹药,射弹弹药,标准弹药,大型,
定相等离子弹 L,200,军火和弹药,射弹弹药,标准弹药,大型,
电磁脉冲弹 L,201,军火和弹药,射弹弹药,标准弹药,大型,
雷神巡航导弹,202,军火和弹药,导弹,巡航导弹,标准巡航导弹,
鞭挞巡航导弹,203,军火和弹药,导弹,巡航导弹,标准巡航导弹,
炼狱巡航导弹,204,军火和弹药,导弹,巡航导弹,标准巡航导弹,
星爆巡航导弹,205,军火和弹药,导弹,巡航导弹,标准巡航导弹,
星爆重型导弹,206,军火和弹药,导弹,重型导弹,标准重型导弹,
雷神重型导弹,207,军火和弹药,导弹,重型导弹,标准重型导弹,
炼狱重型导弹,208,军火和弹药,导弹,重型导弹,标准重型导弹,
鞭挞重型导弹,209,军火和弹药,导弹,重型导弹,标准重型导弹,
鞭挞轻型导弹,210,军火和弹药,导弹,轻型导弹,标准轻型导弹,
炼狱轻型导弹,211,军火和弹药,导弹,轻型导弹,标准轻型导弹,
雷神轻型导弹,212,军火和弹药,导弹,轻型导弹,标准轻型导弹,
星爆轻型导弹,213,军火和弹药,导弹,轻型导弹,标准轻型导弹,
铁质轨道弹 S,215,军火和弹药,混合弹药,标准弹药,小型,
钨质轨道弹 S,216,军火和弹药,混合弹药,标准弹药,小型,
铱质轨道弹 S,217,军火和弹药,混合弹药,标准弹药,小型,
铅质轨道弹 S,218,军火和弹药,混合弹药,标准弹药,小型,
钍质轨道弹 S,219,军火和弹药,混合弹药,标准弹药,小型,
钼质轨道弹 S,220,军火和弹药,混合弹药,标准弹药,小型,
锰质轨道弹 S,221,军火和弹药,混合弹药,标准弹药,小型,
反物质轨道弹 S,222,军火和弹药,混合弹药,标准弹药,小型,
铁质轨道弹 M,223,军火和弹药,混合弹药,标准弹药,中型,
钨质轨道弹 M,224,军火和弹药,混合弹药,标准弹药,中型,
铱质轨道弹 M,225,军火和弹药,混合弹药,标准弹药,中型,
铅质轨道弹 M,226,军火和弹药,混合弹药,标准弹药,中型,
钍质轨道弹 M,227,军火和弹药,混合弹药,标准弹药,中型,
钼质轨道弹 M,228,军火和弹药,混合弹药,标准弹药,中型,
锰质轨道弹 M,229,军火和弹药,混合弹药,标准弹药,中型,
反物质轨道弹 M,230,军火和弹药,混合弹药,标准弹药,中型,
铁质轨道弹 L,231,军火和弹药,混合弹药,标准弹药,大型,
钨质轨道弹 L,232,军火和弹药,混合弹药,标准弹药,大型,
铱质轨道弹 L,233,军火和弹药,混合弹药,标准弹药,大型,
铅质轨道弹 L,234,军火和弹药,混合弹药,标准弹药,大型,
钍质轨道弹 L,235,军火和弹药,混合弹药,标准弹药,大型,
钼质轨道弹 L,236,军火和弹药,混合弹药,标准弹药,大型,
锰质轨道弹 L,237,军火和弹药,混合弹药,标准弹药,大型,
反物质轨道弹 L,238,军火和弹药,混合弹药,标准弹药,大型,
射频晶体 S,239,军火和弹药,频率晶体,标准晶体,小型,
微波晶体 S,240,军火和弹药,频率晶体,标准晶体,小型,
红外晶体 S,241,军火和弹药,频率晶体,标准晶体,小型,
标准晶体 S,242,军火和弹药,频率晶体,标准晶体,小型,
紫外晶体 S,243,军火和弹药,频率晶体,标准晶体,小型,
X射线晶体 S,244,军火和弹药,频率晶体,标准晶体,小型,
伽玛晶体 S,245,军火和弹药,频率晶体,标准晶体,小型,
多频晶体 S,246,军火和弹药,频率晶体,标准晶体,小型,
射频晶体 M,247,军火和弹药,频率晶体,标准晶体,中型,
微波晶体 M,248,军火和弹药,频率晶体,标准晶体,中型,
红外晶体 M,249,军火和弹药,频率晶体,标准晶体,中型,
标准晶体 M,250,军火和弹药,频率晶体,标准晶体,中型,
紫外晶体 M,251,军火和弹药,频率晶体,标准晶体,中型,
X射线晶体 M,252,军火和弹药,频率晶体,标准晶体,中型,
伽玛晶体 M,253,军火和弹药,频率晶体,标准晶体,中型,
多频晶体 M,254,军火和弹药,频率晶体,标准晶体,中型,
射频晶体 L,255,军火和弹药,频率晶体,标准晶体,大型,
微波晶体 L,256,军火和弹药,频率晶体,标准晶体,大型,
红外晶体 L,257,军火和弹药,频率晶体,标准晶体,大型,
标准晶体 L,258,军火和弹药,频率晶体,标准晶体,大型,
紫外晶体 L,259,军火和弹药,频率晶体,标准晶体,大型,
X射线晶体 L,260,军火和弹药,频率晶体,标准晶体,大型,
伽玛晶体 L,261,军火和弹药,频率晶体,标准晶体,大型,
多频晶体 L,262,军火和弹药,频率晶体,标准晶体,大型,
电容注电器装料 25,263,军火和弹药,电容注电装料,,,
电容注电器装料 50,264,军火和弹药,电容注电装料,,,
鞭挞火箭,266,军火和弹药,导弹,火箭,标准火箭,
鞭挞鱼雷,267,军火和弹药,导弹,鱼雷,标准鱼雷,
雷神自动锁定轻型导弹 I,269,军火和弹药,导弹,自动锁定,标准自动锁定导弹,
小型护盾扩展装置 I,377,舰船装备,护盾,护盾扩展装置,小型,
小型护盾扩展装置 II,380,舰船装备,护盾,护盾扩展装置,小型,
护盾回充器 I,393,舰船装备,护盾,护盾回充器,,
护盾回充器 II,394,舰船装备,护盾,护盾回充器,,
小型护盾回充增量器 I,399,舰船装备,护盾,护盾回充增量器,小型,
小型护盾回充增量器 II,400,舰船装备,护盾,护盾回充增量器,小型,
微型远程护盾回充增量器,405,舰船装备,护盾,远程护盾回充增量器,小型,
基础型电容回充器,421,舰船装备,工程装备,电容回充器,,
5MN微型跃迁推进器 I,434,舰船装备,推进器,微型跃迁推进器,,
1MN加力燃烧器 II,438,舰船装备,推进器,加力燃烧器,,
1MN加力燃烧器 I,439,舰船装备,推进器,加力燃烧器,,
5MN微型跃迁推进器 II,440,舰船装备,推进器,微型跃迁推进器,,
货柜扫描器 I,442,舰船装备,扫描设备,货舱扫描器,,
船体扫描器 I,443,舰船装备,扫描设备,舰船扫描器,,
测量扫描器 I,444,舰船装备,扫描设备,测量扫描器,,
跃迁扰频器 I,447,舰船装备,电子战,跃迁扰频器,,
跃迁扰频器 II,448,舰船装备,电子战,跃迁扰频器,,
加特林脉冲激光器 I,450,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
双联轻型脉冲激光器 I,451,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
双联轻型集束激光器 I,452,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
小型聚焦脉冲激光器 I,453,舰船装备,炮台和发射器,能量炮台,脉冲激光器,小型
小型聚焦集束激光器 I,454,舰船装备,炮台和发射器,能量炮台,集束激光器,小型
四联轻型集束激光器 I,455,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
聚焦中型脉冲激光器 I,456,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
聚焦中型集束激光器 I,457,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
重型脉冲激光器 I,458,舰船装备,炮台和发射器,能量炮台,脉冲激光器,中型
重型集束激光器 I,459,舰船装备,炮台和发射器,能量炮台,集束激光器,中型
双联重型脉冲激光器 I,460,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
双联重型集束激光器 I,461,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超级脉冲激光器 I,462,舰船装备,炮台和发射器,能量炮台,脉冲激光器,大型
超级集束激光器 I,463,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
超光速粒子集束激光器 I,464,舰船装备,炮台和发射器,能量炮台,集束激光器,大型
采矿器 II,482,舰船装备,采集设备,采矿激光器,,
采矿器 I,483,舰船装备,采集设备,采矿激光器,,
125mm加特林自动加农炮 I,484,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
150mm轻型自动加农炮 I,485,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
200mm自动加农炮 I,486,舰船装备,炮台和发射器,射弹炮台,自动加农炮,小型
250mm轻型加农炮 I,487,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
280mm榴弹炮 I,488,舰船装备,炮台和发射器,射弹炮台,加农火炮,小型
双联180mm自动加农炮 I,489,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
220mm火神自动加农炮 I,490,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
425mm自动加农炮 I,491,舰船装备,炮台和发射器,射弹炮台,自动加农炮,中型
650mm加农炮 I,492,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
720mm榴弹炮 I,493,舰船装备,炮台和发射器,射弹炮台,加农火炮,中型
双联425mm自动加农炮 I,494,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
双联650mm频射加农炮 I,495,舰船装备,炮台和发射器,射弹炮台,自动加农炮,大型
