product name,blueprint name
B级克隆,B级克隆蓝图
C级克隆,C级克隆蓝图
矮脚鸡级,矮脚鸡级蓝图
秃鹫级,秃鹫级蓝图
狮鹫级,狮鹫级蓝图
鱼鹰级,鱼鹰级蓝图
狞獾级,狞獾级蓝图
乌鸦级,乌鸦级蓝图
伐木者级,伐木者级蓝图
探索级,探索级蓝图
裂谷级,裂谷级蓝图
刺客级,刺客级蓝图
狂暴级,狂暴级蓝图
采矿器 II,采矿器蓝图 II
采矿器 I,采矿器蓝图 I
轻型导弹发射器 I,轻型导弹发射器蓝图 I
重型导弹发射器 I,重型导弹发射器蓝图 I
鱼雷发射器 I,鱼雷发射器蓝图 I
雷神巡航导弹,雷神巡航导弹蓝图
鞭挞巡航导弹,鞭挞巡航导弹蓝图
炼狱巡航导弹,炼狱巡航导弹蓝图
星爆巡航导弹,星爆巡航导弹蓝图
星爆重型导弹,星爆重型导弹蓝图
雷神重型导弹,雷神重型导弹蓝图
炼狱重型导弹,炼狱重型导弹蓝图
鞭挞重型导弹,鞭挞重型导弹蓝图
鞭挞轻型导弹,鞭挞轻型导弹蓝图
炼狱轻型导弹,炼狱轻型导弹蓝图
雷神轻型导弹,雷神轻型导弹蓝图
星爆轻型导弹,星爆轻型导弹蓝图
125mm加特林自动加农炮 I,125mm加特林自动加农炮蓝图 I
150mm轻型自动加农炮 I,150mm轻型自动加农炮蓝图 I
200mm自动加农炮 I,200mm自动加农炮蓝图 I
250mm轻型加农炮 I,250mm轻型加农炮蓝图 I
280mm榴弹炮 I,280mm榴弹炮蓝图 I
双联180mm自动加农炮 I,双联180mm自动加农炮蓝图 I
220mm火神自动加农炮 I,220mm火神自动加农炮蓝图 I
425mm自动加农炮 I,425mm自动加农炮蓝图 I
650mm加农炮 I,650mm加农炮蓝图 I
720mm榴弹炮 I,720mm榴弹炮蓝图 I
双联425mm自动加农炮 I,双联425mm自动加农炮蓝图 I
双联650mm频射加农炮 I,双联650mm频射加农炮蓝图 I
800mm频射加农炮 I,800mm频射加农炮蓝图 I
1200mm加农火炮 I,1200mm加农炮蓝图 I
1400mm榴弹炮 I,1400mm榴弹炮蓝图 I
加特林脉冲激光器 I,加特林脉冲激光器蓝图 I
双联轻型脉冲激光器 I,双联轻型脉冲激光器蓝图 I
双联轻型集束激光器 I,双联轻型集束激光器蓝图 I
小型聚焦脉冲激光器 I,小型聚焦脉冲激光器 I 蓝图
小型聚焦集束激光器 I,小型聚焦集束激光器 I 蓝图
四联轻型集束激光器 I,四联轻型集束激光器蓝图 I
聚焦中型脉冲激光器 I,聚焦中型脉冲激光器蓝图 I
聚焦中型集束激光器 I,聚焦中型集束激光器蓝图 I
重型脉冲激光器 I,重型脉冲激光器蓝图 I
重型集束激光器 I,重型集束激光器蓝图 I
